filename,category
2053-008-001-008.pdf,text
2053-008-001-009.pdf,text
2053-008-001-010.pdf,text
2053-008-001-011.pdf,text
2053-008-001-012.pdf,text
2053-008-001-013.pdf,text
2053-008-001-014.pdf,text
2053-008-001-015.pdf,text
2053-008-001-016.pdf,text
2053-008-001-017.pdf,text
2053-008-001-018.pdf,text
2053-008-001-019.pdf,text
2053-008-001-020.pdf,text
2053-008-001-021.pdf,text
2053-008-001-022.pdf,text
2053-008-001-023.pdf,text
2053-008-001-024.pdf,text
2053-008-001-025.pdf,text
2053-008-001-026.pdf,text
2053-008-001-027.pdf,text
2053-008-001-028.pdf,text
2053-008-001-029.pdf,text
2053-008-001-030.pdf,text
2053-008-001-031.pdf,text
2053-008-001-032.pdf,text
2053-008-001-033.pdf,text
2053-008-001-034.pdf,text
2053-008-001-035.pdf,text
2053-008-001-036.pdf,text
2053-008-001-037.pdf,text
2053-008-001-038.pdf,text
2074-032-001-001.pdf,text
2074-032-001-002.pdf,text
2074-032-001-003.pdf,text
2074-032-001-004.pdf,text
2074-032-001-005.pdf,text
2074-032-001-006.pdf,text
2074-032-001-007.pdf,text
2074-032-001-008.pdf,text
2074-032-001-009.pdf,text
2074-032-002-001.pdf,text
2074-032-002-002.pdf,text
2086-018-001-001.pdf,text
2086-018-001-002.pdf,text
2086-018-001-003.pdf,text
2086-018-001-004.pdf,text
2086-018-001-005.pdf,text
2086-018-001-006.pdf,text
2086-018-001-007.pdf,text
2086-018-001-008.pdf,text
2086-018-001-009.pdf,text
2086-018-001-010.pdf,text
2086-018-001-011.pdf,text
2086-018-001-012.pdf,text
2086-018-001-013.pdf,text
2086-018-001-014.pdf,text
2086-018-001-015.pdf,text
2086-018-001-016.pdf,text
2086-018-001-017.pdf,text
2086-018-001-018.pdf,text
2086-018-001-019.pdf,text
2086-018-001-020.pdf,text
2086-018-001-021.pdf,text
2086-018-001-022.pdf,text
2112-000-029-001.pdf,text
2112-000-029-002.pdf,text
2112-000-029-003.pdf,text
2112-000-029-004.pdf,text
2112-000-029-005.pdf,text
2112-000-029-006.pdf,text
2112-000-029-007.pdf,text
2112-000-029-008.pdf,text
2112-000-029-009.pdf,text
2112-000-029-010.pdf,text
2112-000-029-011.pdf,text
2112-000-029-012.pdf,text
